Ein,1n_10n,500p_5n,2n_5n,500p_20n,2n_10n,1n_5n,2n_20n,1n_20n,500p_10n
6,4.2645258,4.2645258,4.2645258,4.2645258,4.2645258,4.2645258,4.2645258,4.2645258,4.2645258
10,8.36752119,8.36752119,8.36752119,8.36752119,8.36752119,8.36752119,8.36752119,8.36752119,8.36752119
12,13.1082953,13.1082953,13.1082953,13.1082953,13.1082953,13.1082953,13.1082953,13.1082953,13.1082953
17,17.6642693,17.6642693,17.6642693,17.6642693,17.6642693,17.6642693,17.6642693,17.6642693,17.6642693
20,21.6943968,21.6943968,21.6943968,21.6943968,21.6943968,21.6943968,21.6943968,21.6943968,21.6943968
25,25.7288605,25.7288605,25.7288605,25.7288605,25.7288605,25.7288605,25.7288605,25.7288605,25.7288605
31,33.2063544,33.2063544,33.2063544,33.2063544,33.2063544,33.2063544,33.2063544,33.2063544,33.2063544
39,38.2144128,40.7996134,35.9639016,40.2951052,35.9639016,38.8944316,35.9639016,37.2811451,39.4161134
50,39.9022961,50.8764073,58.0450976,50.3495787,58.8849847,50.6639194,59.5985616,47.9795064,50.0904133
63,49.0527221,61.4171904,60.2358994,60.8551623,60.8656281,66.9731919,64.5300614,64.8169332,61.3883979
79,81.6570566,75.7871468,75.0581239,77.1018617,75.1877343,82.8534889,74.861557,80.2888952,79.5013537
100,97.9680624,99.2714775,101.493589,101.124563,100.739687,99.4793935,105.967959,97.6341914,101.136443
125,116.933958,126.925821,131.908932,129.669625,130.213757,118.422935,128.899314,115.867424,130.783253
158,152.399413,136.687791,162.53199,154.383123,161.972534,154.020412,162.909155,149.693633,154.106228
199,197.025776,189.534051,197.804091,167.825102,195.884659,198.049819,193.106863,191.851667,170.973306
251,253.143178,261.427573,236.934573,361.487618,236.092812,255.265626,235.08891,250.416347,208.326161
316,241.584824,332.477198,318.289638,366.155557,318.38361,348.631944,310.661497,266.091169,298.053303
398,383.54256,405.497302,414.304737,407.444905,411.229498,425.632068,407.495106,266.10718,413.706131
501,500.859525,483.677583,488.193749,486.028323,524.266468,500.508708,523.270343,488.523353,531.025474
630,633.697661,636.345642,612.875111,624.696396,652.068354,604.819501,675.674108,637.767357,665.355581
794,790.485228,815.265345,805.552297,813.567404,805.547871,797.032759,837.510182,822.915166,816.950163
1000,936.428745,1078.48517,1051.04203,1020.26943,960.882195,1015.65806,1050.1003,1034.12066,960.481853
1258,1240.06708,1216.32239,1344.09819,1259.82785,1220.00964,1275.34973,1315.99067,1264.0505,1285.56661
1584,1637.43104,1220.04144,1548.93983,1523.20528,1580.94022,1398.72045,1551.77113,1568.25093,1682.9312
1995,2085.89291,1220.04144,1552.99606,1808.64199,2058.52141,1397.62739,1888.14001,1818.35382,2179.6549
2511,2413.92301,,,2437.24275,2512.3599,1398.72045,2517.17138,2416.00829,2360.5368
3162,2548.04438,,,3150.57284,2551.38067,,3277.63888,3119.54369,2361.44292
3981,2424.04296,,,4038.90863,2551.38067,,4180.94055,4051.34052,2361.44292
5011,,,,4280.75544,,,4680.14425,4356.82078,
6309,,,,4281.10514,,,4687.0649,4359.5063,
