In Energy,SampledOut,ADCOut,Sampled_Eout,ADC_Eout,Linear
1,0.01135,0.00964531,0.8463922,0.522050983,1
1.5,0.0183,0.02077813,1.3646676,1.124612664,1.5
2,0.02569,0.02780938,1.91575468,1.505177936,2
2.5,0.0318,0.04128594,2.3713896,2.234594708,2.5
2.5,0.03206,0.0407,2.39077832,2.202880935,2.5
3.1,0.0402,0.0547625,2.9977944,2.96401148,3.1
3.9,0.0506,0.068825,3.7733432,3.725142024,3.9
5,0.0701,0.08698906,5.2274972,4.708268977,5
6.309573445,0.0834,0.10808281,6.2193048,5.849964794,6.309573445
7.943282347,0.10622,0.143825,7.92103784,7.784504927,7.943282347
10,0.1336,0.1907,9.9628192,10.32160674,10
12.58925412,0.1693,0.23698906,12.6250396,12.82699478,12.58925412
17,0.226,0.31198906,16.853272,16.88635769,17
19.95262315,0.265,0.36179375,19.76158,19.58202836,19.95262315
25.11886432,0.324,0.52761406,24.161328,28.55702603,25.11886432
31.6227766,0.052,0.08698906,29.7293707,36.09672883,31.6227766
39.81071706,0.0775,0.1110125,44.3081967,46.06542471,39.81071706
50.11872336,0.09907,0.13445,56.6401683,55.79098166,50.11872336
63.09573445,0.124,0.17722344,70.8931147,73.54012311,63.09573445
79.43282347,0.1566,0.22585625,89.5311432,93.72065379,79.43282347
100,0.197,0.28737969,112.628577,119.2502408,100
125.8925412,0.247,0.35945,141.214511,149.1563284,125.8925412
158.4893192,0.314,0.44148125,179.519661,183.1957778,158.4893192
199.5262315,0.0209,0.02898125,219.756227,221.1733729,199.5262315
251.1886432,0.0246,0.03484063,258.660439,265.8897924,251.1886432
316.227766,0.03188,0.04890313,335.207106,373.2091992,316.227766
398.1071706,0.03727,0.05945,391.88108,453.6987542,398.1071706
501.1872336,0.05238,0.07702813,550.757472,587.8480127,501.1872336
630.9573445,0.0665,0.09402031,699.224358,717.5256292,630.9573445
794.3282347,0.08338,0.11921563,876.711684,909.8062329,794.3282347
1000,0.10729,0.15202813,1128.11701,1160.218182,1000
1258.925412,0.136,0.19773125,1429.99267,1509.006254,1258.925412
1584.893192,0.1719,0.24870781,1807.46868,1898.039103,1584.893192
1995.262315,0.2196,0.30730156,2309.01758,2345.203298,1995.262315
2511.886432,0.28,0.38698906,2944.10256,2953.346603,2511.886432
3162.27766,0.353,0.48835625,3711.67216,3726.94066,3162.27766
3981.071706,0.432,0.50945,4542.32966,3887.91977,3981.071706
5011.872336,0.505,0.51120781,5309.89926,3901.334696,5011.872336
6309.573445,0.5751,0.51296563,6046.97637,3914.749622,6309.573445
7943.2,0.6349,0.51296563,6675.75255,3914.749622,7943.2
